# Time,Radius_of_Gyration
0.000000000000000000e+00,8.731031893300550450e+01
5.000000000000000000e+01,8.736698264621696808e+01
1.000000000000000000e+02,8.739007473080619093e+01
1.500000000000000000e+02,8.735193319039328230e+01
2.000000000000000000e+02,8.731121896655068326e+01
2.500000000000000000e+02,8.731124680713321595e+01
3.000000000000000000e+02,8.732290213760067843e+01
3.500000000000000000e+02,8.730524464707735888e+01
4.000000000000000000e+02,8.728473680439965676e+01
4.500000000000000000e+02,8.733989058340698364e+01
5.000000000000000000e+02,8.729759237436472574e+01
5.500000000000000000e+02,8.728537914965143329e+01
6.000000000000000000e+02,8.723837291036878128e+01
6.500000000000000000e+02,8.721495132779780590e+01
7.000000000000000000e+02,8.726714231832340829e+01
7.500000000000000000e+02,8.725950255221235352e+01
8.000000000000000000e+02,8.722355815012022617e+01
8.500000000000000000e+02,8.720878137204958591e+01
9.000000000000000000e+02,8.722621214781008803e+01
9.500000000000000000e+02,8.726240533727710158e+01
1.000000000000000000e+03,8.732006201511256904e+01
1.050000000000000000e+03,8.732335054457587376e+01
1.100000000000000000e+03,8.735671534039431663e+01
1.150000000000000000e+03,8.734804352265345528e+01
1.200000000000000000e+03,8.730445146563118897e+01
1.250000000000000000e+03,8.726104395549273818e+01
1.300000000000000000e+03,8.730218110723448888e+01
1.350000000000000000e+03,8.721417079080482893e+01
1.400000000000000000e+03,8.723922798587540228e+01
1.450000000000000000e+03,8.730643193554526249e+01
1.500000000000000000e+03,8.720399153744266130e+01
1.550000000000000000e+03,8.731978049847820955e+01
1.600000000000000000e+03,8.727606288749798580e+01
1.650000000000000000e+03,8.723654923665473859e+01
1.700000000000000000e+03,8.718268541286155937e+01
1.750000000000000000e+03,8.724076560493347188e+01
1.800000000000000000e+03,8.723973598687049957e+01
1.850000000000000000e+03,8.723654846274796171e+01
1.900000000000000000e+03,8.720803050987770177e+01
1.950000000000000000e+03,8.720218025405141304e+01
2.000000000000000000e+03,8.718457162921087900e+01
2.050000000000000000e+03,8.720794810883154469e+01
2.100000000000000000e+03,8.719544688452140235e+01
2.150000000000000000e+03,8.726822822026927895e+01
2.200000000000000000e+03,8.720563691593297051e+01
2.250000000000000000e+03,8.719589015530225140e+01
2.300000000000000000e+03,8.728822089059100620e+01
2.350000000000000000e+03,8.725528877269724148e+01
2.400000000000000000e+03,8.729823398179519245e+01
2.450000000000000000e+03,8.727407328867145964e+01
2.500000000000000000e+03,8.733253200104753944e+01
2.550000000000000000e+03,8.728353705368488136e+01
2.600000000000000000e+03,8.730135485279967611e+01
2.650000000000000000e+03,8.724590702930058228e+01
2.700000000000000000e+03,8.723068936139256380e+01
2.750000000000000000e+03,8.726673960294969845e+01
2.800000000000000000e+03,8.725244452682424878e+01
2.850000000000000000e+03,8.728732889042271381e+01
2.900000000000000000e+03,8.730044299486448267e+01
2.950000000000000000e+03,8.725552588325832915e+01
3.000000000000000000e+03,8.728343779859194740e+01
3.050000000000000000e+03,8.726849006917554163e+01
3.100000000000000000e+03,8.728515835414738433e+01
3.150000000000000000e+03,8.728169367100164777e+01
3.200000000000000000e+03,8.735176053124686746e+01
3.250000000000000000e+03,8.729232417297401980e+01
3.300000000000000000e+03,8.725746307721458095e+01
3.350000000000000000e+03,8.724987599373847047e+01
3.400000000000000000e+03,8.725580944664746141e+01
3.450000000000000000e+03,8.729716917258735975e+01
3.500000000000000000e+03,8.723742730816863400e+01
3.550000000000000000e+03,8.722755245501802790e+01
3.600000000000000000e+03,8.728240582191538977e+01
3.650000000000000000e+03,8.730289628591064854e+01
3.700000000000000000e+03,8.730443694563069812e+01
3.750000000000000000e+03,8.724787215820852282e+01
3.800000000000000000e+03,8.725354998188306865e+01
3.850000000000000000e+03,8.730632540089769122e+01
3.900000000000000000e+03,8.724881812622240318e+01
3.950000000000000000e+03,8.723274818143502785e+01
4.000000000000000000e+03,8.721900185305204900e+01
4.050000000000000000e+03,8.722285336246397947e+01
4.100000000000000000e+03,8.717530607019979527e+01
4.150000000000000000e+03,8.718193332518985983e+01
4.200000000000000000e+03,8.726091153900276254e+01
4.250000000000000000e+03,8.722924382134911525e+01
4.300000000000000000e+03,8.718282755702433917e+01
4.350000000000000000e+03,8.722755609774473839e+01
4.400000000000000000e+03,8.718851091775539430e+01
4.450000000000000000e+03,8.722694729376280520e+01
4.500000000000000000e+03,8.720129567763557077e+01
4.550000000000000000e+03,8.718329314492895321e+01
4.600000000000000000e+03,8.725818017149262573e+01
4.650000000000000000e+03,8.727270804336976084e+01
4.700000000000000000e+03,8.724512229748651748e+01
4.750000000000000000e+03,8.723424136347789215e+01
4.800000000000000000e+03,8.726699990436458165e+01
4.850000000000000000e+03,8.731601130475426942e+01
4.900000000000000000e+03,8.727621499438262731e+01
4.950000000000000000e+03,8.727656672338527244e+01
5.000000000000000000e+03,8.729541685817299879e+01
5.050000000000000000e+03,8.728957064478902339e+01
5.100000000000000000e+03,8.731570182031930472e+01
5.150000000000000000e+03,8.733047071455774812e+01
5.200000000000000000e+03,8.730373152479654664e+01
5.250000000000000000e+03,8.730615483354652895e+01
5.300000000000000000e+03,8.731685127773255317e+01
5.350000000000000000e+03,8.731815416467834723e+01
5.400000000000000000e+03,8.728944619099794977e+01
5.450000000000000000e+03,8.723749853715912650e+01
5.500000000000000000e+03,8.723692687285954150e+01
5.550000000000000000e+03,8.728818077185557911e+01
5.600000000000000000e+03,8.729194536479877797e+01
5.650000000000000000e+03,8.726200776222354705e+01
5.700000000000000000e+03,8.724969236448819743e+01
5.750000000000000000e+03,8.725804876191516257e+01
5.800000000000000000e+03,8.730971941620445875e+01
5.850000000000000000e+03,8.732558175250105137e+01
5.900000000000000000e+03,8.725272723636949479e+01
5.950000000000000000e+03,8.726626128818911354e+01
6.000000000000000000e+03,8.730488313395677835e+01
6.050000000000000000e+03,8.731387168159862711e+01
6.100000000000000000e+03,8.730937569308807156e+01
6.150000000000000000e+03,8.728473083716247061e+01
6.200000000000000000e+03,8.723847796988317782e+01
6.250000000000000000e+03,8.727347234091460848e+01
6.300000000000000000e+03,8.726250762835522323e+01
6.350000000000000000e+03,8.729185815075589971e+01
6.400000000000000000e+03,8.727521189584975048e+01
6.450000000000000000e+03,8.728072062755225602e+01
6.500000000000000000e+03,8.732199946197631846e+01
6.550000000000000000e+03,8.727666647209112227e+01
6.600000000000000000e+03,8.734202210374512276e+01
6.650000000000000000e+03,8.730512986592907509e+01
6.700000000000000000e+03,8.729476118873147072e+01
6.750000000000000000e+03,8.726875302387922773e+01
6.800000000000000000e+03,8.732963829305295178e+01
