# Time,Radius_of_Gyration
0.000000000000000000e+00,8.699561419222341385e+01
5.000000000000000000e+01,8.702658387257102390e+01
1.000000000000000000e+02,8.704771909608869862e+01
1.500000000000000000e+02,8.704720556801824216e+01
2.000000000000000000e+02,8.699611317204208660e+01
2.500000000000000000e+02,8.706683830952034953e+01
3.000000000000000000e+02,8.701130148881327386e+01
3.500000000000000000e+02,8.696695313104973479e+01
4.000000000000000000e+02,8.699092679485616486e+01
4.500000000000000000e+02,8.700626815616324450e+01
5.000000000000000000e+02,8.702849025071743938e+01
5.500000000000000000e+02,8.697525545701022054e+01
6.000000000000000000e+02,8.701611260419005589e+01
6.500000000000000000e+02,8.694472898765084778e+01
7.000000000000000000e+02,8.695984726405046672e+01
7.500000000000000000e+02,8.695704429793381962e+01
8.000000000000000000e+02,8.694681097726400765e+01
8.500000000000000000e+02,8.702661898499765414e+01
9.000000000000000000e+02,8.697373843552199446e+01
9.500000000000000000e+02,8.695650879761623742e+01
1.000000000000000000e+03,8.702617776182280807e+01
1.050000000000000000e+03,8.706191181513955257e+01
1.100000000000000000e+03,8.705187630285199418e+01
1.150000000000000000e+03,8.701289148777230764e+01
1.200000000000000000e+03,8.704108692593449348e+01
1.250000000000000000e+03,8.705163921482278511e+01
1.300000000000000000e+03,8.707775394113444634e+01
1.350000000000000000e+03,8.706472186273975922e+01
1.400000000000000000e+03,8.708862898964305543e+01
1.450000000000000000e+03,8.708193682229611454e+01
1.500000000000000000e+03,8.703177024016417818e+01
1.550000000000000000e+03,8.704965533073654171e+01
1.600000000000000000e+03,8.711453267013089885e+01
1.650000000000000000e+03,8.712294579125243388e+01
1.700000000000000000e+03,8.708977972626935582e+01
1.750000000000000000e+03,8.713845294872072600e+01
1.800000000000000000e+03,8.708470079050694324e+01
1.850000000000000000e+03,8.705358526072166114e+01
1.900000000000000000e+03,8.700115334147655233e+01
1.950000000000000000e+03,8.703329017425194536e+01
2.000000000000000000e+03,8.706941300944812667e+01
2.050000000000000000e+03,8.708606206210521350e+01
2.100000000000000000e+03,8.710582015192704830e+01
