# Time,Radius_of_Gyration
0.000000000000000000e+00,8.700853481064173423e+01
5.000000000000000000e+01,8.704089118737822162e+01
1.000000000000000000e+02,8.704910125791127484e+01
1.500000000000000000e+02,8.699056394216619026e+01
2.000000000000000000e+02,8.695325534053887395e+01
2.500000000000000000e+02,8.701374296753850501e+01
3.000000000000000000e+02,8.697946216406093356e+01
3.500000000000000000e+02,8.696562900851840539e+01
4.000000000000000000e+02,8.701914568622277102e+01
4.500000000000000000e+02,8.700324656512334798e+01
5.000000000000000000e+02,8.704937012674689356e+01
5.500000000000000000e+02,8.707732017618081954e+01
6.000000000000000000e+02,8.704831455552701414e+01
6.500000000000000000e+02,8.696207297991756491e+01
7.000000000000000000e+02,8.700618997984248892e+01
7.500000000000000000e+02,8.700327424985262326e+01
8.000000000000000000e+02,8.706153099124091455e+01
8.500000000000000000e+02,8.708743440947733916e+01
9.000000000000000000e+02,8.707927508667633276e+01
9.500000000000000000e+02,8.706416770592780097e+01
1.000000000000000000e+03,8.708870092291111575e+01
1.050000000000000000e+03,8.708383590110837247e+01
1.100000000000000000e+03,8.708037222294916546e+01
1.150000000000000000e+03,8.707876260290964865e+01
1.200000000000000000e+03,8.709489503789296805e+01
1.250000000000000000e+03,8.714926290401344033e+01
1.300000000000000000e+03,8.714822469601966759e+01
1.350000000000000000e+03,8.711158912320243530e+01
1.400000000000000000e+03,8.714265633450662563e+01
1.450000000000000000e+03,8.713359565376578075e+01
1.500000000000000000e+03,8.709016683057454600e+01
1.550000000000000000e+03,8.703727104998584707e+01
1.600000000000000000e+03,8.706750442297871473e+01
1.650000000000000000e+03,8.702271579353724462e+01
1.700000000000000000e+03,8.707563418542093814e+01
1.750000000000000000e+03,8.703039944977687981e+01
1.800000000000000000e+03,8.701577974662045278e+01
1.850000000000000000e+03,8.698741887311909693e+01
1.900000000000000000e+03,8.704162091325878237e+01
1.950000000000000000e+03,8.702839841596653514e+01
2.000000000000000000e+03,8.703712815639639189e+01
2.050000000000000000e+03,8.701781573425971317e+01
2.100000000000000000e+03,8.706606900930970028e+01
2.150000000000000000e+03,8.700953022446688578e+01
2.200000000000000000e+03,8.703935295149339879e+01
2.250000000000000000e+03,8.707792743329757457e+01
2.300000000000000000e+03,8.705733604205558152e+01
2.350000000000000000e+03,8.706526181615208770e+01
2.400000000000000000e+03,8.708362477844113414e+01
2.450000000000000000e+03,8.706412793861208854e+01
2.500000000000000000e+03,8.711550977240491989e+01
2.550000000000000000e+03,8.716740310557607074e+01
2.600000000000000000e+03,8.712362101633399902e+01
2.650000000000000000e+03,8.715511916891767896e+01
2.700000000000000000e+03,8.713422874691339359e+01
2.750000000000000000e+03,8.714724908471978893e+01
2.800000000000000000e+03,8.713665714816282559e+01
2.850000000000000000e+03,8.713472505938119639e+01
2.900000000000000000e+03,8.709487737867013379e+01
2.950000000000000000e+03,8.715698386865076941e+01
3.000000000000000000e+03,8.710239848095076809e+01
3.050000000000000000e+03,8.711909692206415912e+01
3.100000000000000000e+03,8.711381840053316239e+01
3.150000000000000000e+03,8.709535785972883559e+01
3.200000000000000000e+03,8.704548111391184761e+01
3.250000000000000000e+03,8.712341693362211004e+01
3.300000000000000000e+03,8.714092800635083336e+01
3.350000000000000000e+03,8.710939548853011161e+01
3.400000000000000000e+03,8.704272548287897848e+01
3.450000000000000000e+03,8.704607510461143249e+01
3.500000000000000000e+03,8.709323482230068691e+01
3.550000000000000000e+03,8.705463905967810945e+01
3.600000000000000000e+03,8.711863999005505832e+01
3.650000000000000000e+03,8.705662751559079027e+01
3.700000000000000000e+03,8.704778367762366997e+01
3.750000000000000000e+03,8.710139183810186125e+01
3.800000000000000000e+03,8.709022053258031804e+01
3.850000000000000000e+03,8.711269035307333297e+01
3.900000000000000000e+03,8.713209759462519344e+01
3.950000000000000000e+03,8.711883565512117400e+01
4.000000000000000000e+03,8.721439212442821542e+01
4.050000000000000000e+03,8.718977352600185782e+01
4.100000000000000000e+03,8.722524153415459125e+01
4.150000000000000000e+03,8.714560799375713884e+01
4.200000000000000000e+03,8.717050587236541048e+01
4.250000000000000000e+03,8.713551834431019927e+01
4.300000000000000000e+03,8.711835511350764705e+01
4.350000000000000000e+03,8.714203421087407264e+01
4.400000000000000000e+03,8.719904680802910946e+01
4.450000000000000000e+03,8.712782360390556846e+01
4.500000000000000000e+03,8.714912881866058569e+01
4.550000000000000000e+03,8.713045513786143204e+01
4.600000000000000000e+03,8.714788384882690764e+01
4.650000000000000000e+03,8.713747534991429688e+01
4.700000000000000000e+03,8.713422504124882551e+01
4.750000000000000000e+03,8.715847849390942770e+01
4.800000000000000000e+03,8.715183062457620622e+01
4.850000000000000000e+03,8.706324812484234599e+01
4.900000000000000000e+03,8.709641433867366800e+01
4.950000000000000000e+03,8.710651562875747800e+01
5.000000000000000000e+03,8.709694935784555980e+01
5.050000000000000000e+03,8.708221929996958011e+01
5.100000000000000000e+03,8.713691189452589470e+01
5.150000000000000000e+03,8.715932587108754603e+01
5.200000000000000000e+03,8.709879428372943266e+01
5.250000000000000000e+03,8.710727124176594316e+01
5.300000000000000000e+03,8.707538709334424709e+01
5.350000000000000000e+03,8.709325471599014179e+01
5.400000000000000000e+03,8.710007763430587602e+01
5.450000000000000000e+03,8.710939254364207329e+01
5.500000000000000000e+03,8.713113504339935389e+01
5.550000000000000000e+03,8.710149109155022984e+01
5.600000000000000000e+03,8.710340092478499230e+01
5.650000000000000000e+03,8.710920367546913212e+01
5.700000000000000000e+03,8.706856469966970735e+01
5.750000000000000000e+03,8.708221964663509596e+01
5.800000000000000000e+03,8.716078855034990625e+01
5.850000000000000000e+03,8.712268547987027034e+01
5.900000000000000000e+03,8.715673203035682093e+01
5.950000000000000000e+03,8.716559206132178872e+01
6.000000000000000000e+03,8.720118990632710165e+01
6.050000000000000000e+03,8.713765803145069810e+01
6.100000000000000000e+03,8.709628333061129979e+01
6.150000000000000000e+03,8.711255276462131292e+01
6.200000000000000000e+03,8.716292615816335854e+01
6.250000000000000000e+03,8.718349592463634679e+01
