# Time,Radius_of_Gyration
0.000000000000000000e+00,8.757536633239466539e+01
5.000000000000000000e+01,8.754634271184552574e+01
1.000000000000000000e+02,8.756200320400672865e+01
1.500000000000000000e+02,8.756365194918561201e+01
2.000000000000000000e+02,8.753289690582171545e+01
2.500000000000000000e+02,8.763109215350080206e+01
3.000000000000000000e+02,8.756095373034791862e+01
3.500000000000000000e+02,8.758349381828374192e+01
4.000000000000000000e+02,8.755144759752539585e+01
4.500000000000000000e+02,8.756436739676615844e+01
5.000000000000000000e+02,8.755277259895639475e+01
5.500000000000000000e+02,8.763354635891907662e+01
6.000000000000000000e+02,8.759383375521298376e+01
6.500000000000000000e+02,8.763738753340334142e+01
7.000000000000000000e+02,8.753313076375306423e+01
7.500000000000000000e+02,8.758496762931110879e+01
8.000000000000000000e+02,8.757263778167684620e+01
8.500000000000000000e+02,8.756476169610540694e+01
9.000000000000000000e+02,8.758801689076287289e+01
9.500000000000000000e+02,8.753759161112928666e+01
1.000000000000000000e+03,8.752806402272395303e+01
1.050000000000000000e+03,8.752403844347860229e+01
1.100000000000000000e+03,8.753033094678619364e+01
1.150000000000000000e+03,8.756655155469661622e+01
1.200000000000000000e+03,8.755745362790135289e+01
1.250000000000000000e+03,8.756780522995387628e+01
1.300000000000000000e+03,8.754136306775325238e+01
1.350000000000000000e+03,8.759873378677150413e+01
1.400000000000000000e+03,8.759261311349223433e+01
1.450000000000000000e+03,8.757301897013994108e+01
1.500000000000000000e+03,8.755880374060664906e+01
1.550000000000000000e+03,8.754478072266371669e+01
1.600000000000000000e+03,8.756923553059574772e+01
1.650000000000000000e+03,8.753035588349064255e+01
1.700000000000000000e+03,8.760755321487711456e+01
1.750000000000000000e+03,8.761280116529424333e+01
1.800000000000000000e+03,8.755651501200917153e+01
1.850000000000000000e+03,8.761996336916126893e+01
1.900000000000000000e+03,8.766849958648965924e+01
1.950000000000000000e+03,8.765220955094353883e+01
2.000000000000000000e+03,8.766944703990070309e+01
2.050000000000000000e+03,8.760553412546818208e+01
2.100000000000000000e+03,8.763515831103913456e+01
2.150000000000000000e+03,8.765317155596494558e+01
2.200000000000000000e+03,8.761640327918541971e+01
2.250000000000000000e+03,8.758424326305714658e+01
