# Time,Radius_of_Gyration
0.000000000000000000e+00,8.626789671007277605e+01
5.000000000000000000e+01,8.606371617852265388e+01
1.000000000000000000e+02,8.605077396641195264e+01
1.500000000000000000e+02,8.607828416583748776e+01
2.000000000000000000e+02,8.602867540540800917e+01
2.500000000000000000e+02,8.606982998197284473e+01
3.000000000000000000e+02,8.618330811403062341e+01
3.500000000000000000e+02,8.621727882924787423e+01
4.000000000000000000e+02,8.622620549034647297e+01
4.500000000000000000e+02,8.626729447969012199e+01
5.000000000000000000e+02,8.625726528812204208e+01
5.500000000000000000e+02,8.623474320790622016e+01
6.000000000000000000e+02,8.619730522192674016e+01
6.500000000000000000e+02,8.615886643396768818e+01
7.000000000000000000e+02,8.614294458344743077e+01
7.500000000000000000e+02,8.617497471595322622e+01
8.000000000000000000e+02,8.605698756338705380e+01
8.500000000000000000e+02,8.600467811069241009e+01
9.000000000000000000e+02,8.597752327731933519e+01
9.500000000000000000e+02,8.611903885785982027e+01
1.000000000000000000e+03,8.601175272664302440e+01
1.050000000000000000e+03,8.596611075232939925e+01
1.100000000000000000e+03,8.609528241971494822e+01
1.150000000000000000e+03,8.610668418225247933e+01
1.200000000000000000e+03,8.604006296385087182e+01
1.250000000000000000e+03,8.604441964485269523e+01
1.300000000000000000e+03,8.607960441681089492e+01
1.350000000000000000e+03,8.601979595069549589e+01
1.400000000000000000e+03,8.608334276187994760e+01
1.450000000000000000e+03,8.610671441483100352e+01
1.500000000000000000e+03,8.614174841435114161e+01
1.550000000000000000e+03,8.614140322698700913e+01
1.600000000000000000e+03,8.612954069510496424e+01
1.650000000000000000e+03,8.610796374049674284e+01
1.700000000000000000e+03,8.609248351606848360e+01
1.750000000000000000e+03,8.608504478087137102e+01
1.800000000000000000e+03,8.608890574477406687e+01
1.850000000000000000e+03,8.611200592032626844e+01
1.900000000000000000e+03,8.610486684712421379e+01
1.950000000000000000e+03,8.602404197546317732e+01
2.000000000000000000e+03,8.607545567703107281e+01
2.050000000000000000e+03,8.606419115919028684e+01
2.100000000000000000e+03,8.613982248829823618e+01
2.150000000000000000e+03,8.606035348989939848e+01
2.200000000000000000e+03,8.606606695818597075e+01
2.250000000000000000e+03,8.606463600953809134e+01
2.300000000000000000e+03,8.602766641546853066e+01
2.350000000000000000e+03,8.602632234772597997e+01
2.400000000000000000e+03,8.596330991496765250e+01
2.450000000000000000e+03,8.594045423851613918e+01
2.500000000000000000e+03,8.597231749943807699e+01
2.550000000000000000e+03,8.597288973667231460e+01
2.600000000000000000e+03,8.597648386194592263e+01
2.650000000000000000e+03,8.605951713801262315e+01
2.700000000000000000e+03,8.595900557783714646e+01
2.750000000000000000e+03,8.598703443629388232e+01
2.800000000000000000e+03,8.594302481477527067e+01
2.850000000000000000e+03,8.594622477442449338e+01
2.900000000000000000e+03,8.593389661506233779e+01
2.950000000000000000e+03,8.595881358839379516e+01
3.000000000000000000e+03,8.596194674704240413e+01
3.050000000000000000e+03,8.590547047989231544e+01
3.100000000000000000e+03,8.593186175616610001e+01
3.150000000000000000e+03,8.587445131101270590e+01
3.200000000000000000e+03,8.592952313757425031e+01
3.250000000000000000e+03,8.593404181605073688e+01
3.300000000000000000e+03,8.589161208111707424e+01
3.350000000000000000e+03,8.596121823357538005e+01
3.400000000000000000e+03,8.599212821767812898e+01
3.450000000000000000e+03,8.597228537888678090e+01
3.500000000000000000e+03,8.590807392276532539e+01
3.550000000000000000e+03,8.594985741782190303e+01
3.600000000000000000e+03,8.602565486794883043e+01
3.650000000000000000e+03,8.596826311236033291e+01
3.700000000000000000e+03,8.602148692787393713e+01
3.750000000000000000e+03,8.603752020878822293e+01
3.800000000000000000e+03,8.593015843005035492e+01
3.850000000000000000e+03,8.601709899793942782e+01
3.900000000000000000e+03,8.593736905130184311e+01
3.950000000000000000e+03,8.596658108425893374e+01
4.000000000000000000e+03,8.606917294415421793e+01
4.050000000000000000e+03,8.595701253568944367e+01
4.100000000000000000e+03,8.601387057970767103e+01
4.150000000000000000e+03,8.594111608184356044e+01
4.200000000000000000e+03,8.590763170886218347e+01
4.250000000000000000e+03,8.593492739765814292e+01
4.300000000000000000e+03,8.590710308207408730e+01
4.350000000000000000e+03,8.606981008323005256e+01
4.400000000000000000e+03,8.602560513404043263e+01
4.450000000000000000e+03,8.602327356262543390e+01
4.500000000000000000e+03,8.605670589972707774e+01
4.550000000000000000e+03,8.606041741018233893e+01
4.600000000000000000e+03,8.598965467555896680e+01
4.650000000000000000e+03,8.592184213292044603e+01
4.700000000000000000e+03,8.606125178287554434e+01
4.750000000000000000e+03,8.604053039223718713e+01
4.800000000000000000e+03,8.608523266144335651e+01
4.850000000000000000e+03,8.605236200343060204e+01
4.900000000000000000e+03,8.604864758659094548e+01
4.950000000000000000e+03,8.604876336094909561e+01
5.000000000000000000e+03,8.603070934011434190e+01
5.050000000000000000e+03,8.604502709268318483e+01
5.100000000000000000e+03,8.605760601709573621e+01
5.150000000000000000e+03,8.608506554334981331e+01
5.200000000000000000e+03,8.603357550589063862e+01
5.250000000000000000e+03,8.598506552355100041e+01
5.300000000000000000e+03,8.599648475725636843e+01
5.350000000000000000e+03,8.601017758169516014e+01
5.400000000000000000e+03,8.602818636990642176e+01
5.450000000000000000e+03,8.600082584557432597e+01
5.500000000000000000e+03,8.598548643571800199e+01
5.550000000000000000e+03,8.603008279743448838e+01
5.600000000000000000e+03,8.599107511789827640e+01
5.650000000000000000e+03,8.590399371593466071e+01
5.700000000000000000e+03,8.585016418549784589e+01
5.750000000000000000e+03,8.591537283906015432e+01
5.800000000000000000e+03,8.596761719830946902e+01
5.850000000000000000e+03,8.598206358448838671e+01
5.900000000000000000e+03,8.589944414412934748e+01
5.950000000000000000e+03,8.594416272879328744e+01
6.000000000000000000e+03,8.590819911180071244e+01
6.050000000000000000e+03,8.585075562583124054e+01
6.100000000000000000e+03,8.585153802728173389e+01
6.150000000000000000e+03,8.588418278945837869e+01
6.200000000000000000e+03,8.586597182370145731e+01
6.250000000000000000e+03,8.584542385566750511e+01
6.300000000000000000e+03,8.579181142196081566e+01
6.350000000000000000e+03,8.591307351905136613e+01
6.400000000000000000e+03,8.586147306964630843e+01
6.450000000000000000e+03,8.589421437062192410e+01
6.500000000000000000e+03,8.588690818270514171e+01
6.550000000000000000e+03,8.594375574125709250e+01
6.600000000000000000e+03,8.585538185923235233e+01
6.650000000000000000e+03,8.589329572158580106e+01
6.700000000000000000e+03,8.583173638419290796e+01
6.750000000000000000e+03,8.580218943899289741e+01
6.800000000000000000e+03,8.589114417463034101e+01
6.850000000000000000e+03,8.583083198261340385e+01
6.900000000000000000e+03,8.583364901463092167e+01
6.950000000000000000e+03,8.579338263324113711e+01
7.000000000000000000e+03,8.583907000350359340e+01
7.050000000000000000e+03,8.579370306330035589e+01
7.100000000000000000e+03,8.587451269358759021e+01
7.150000000000000000e+03,8.574981268900181419e+01
7.200000000000000000e+03,8.583056694048360669e+01
7.250000000000000000e+03,8.580792456348370933e+01
7.300000000000000000e+03,8.576268264997645474e+01
7.350000000000000000e+03,8.576724429499438429e+01
7.400000000000000000e+03,8.577409546820788933e+01
7.450000000000000000e+03,8.570258899263596675e+01
7.500000000000000000e+03,8.567325047928228798e+01
7.550000000000000000e+03,8.565053043198292926e+01
7.600000000000000000e+03,8.568609702318015309e+01
7.650000000000000000e+03,8.570605980979603089e+01
7.700000000000000000e+03,8.575161748408480378e+01
7.750000000000000000e+03,8.577940686737503029e+01
7.800000000000000000e+03,8.573482478875568802e+01
