Frame,Time (ns),RMSD_ribosome
0.0,0.0,8.991983775478258e-06
1.0,1.0000000328495406,1.155930091986575
2.0,2.0000000656990813,1.1835393079533907
3.0,3.0000000985486217,1.115817518969358
4.0,4.000000131398163,1.3004999409039755
5.0,5.000000164247703,1.1898418537181006
6.0,6.000000197097243,1.1416089792043744
7.0,7.000000229946784,1.134957981369381
8.0,8.000000262796325,1.2648661814164939
9.0,9.000000295645865,1.2292708316868777
10.0,10.000000328495407,1.2316968646472388
11.0,11.000000361344947,1.3074516909484555
12.0,12.000000394194487,1.3071077258568053
13.0,13.000000427044029,1.3161204294645552
14.0,14.000000459893569,1.3863801278486882
15.0,15.00000049274311,1.4012373115070076
16.0,16.00000052559265,1.4202591770928166
17.0,17.000000558442192,1.4786568994087854
18.0,18.00000059129173,1.610025232285971
19.0,19.000000624141272,1.4355880969054173
20.0,20.000000656990814,1.456456022317236
21.0,21.000000689840352,1.4466207485397464
22.0,22.000000722689894,1.4358790303074418
23.0,23.000000755539435,1.4164276587051687
24.0,24.000000788388974,1.4083461238241686
25.0,25.000000821238515,1.3982848758493533
26.0,26.000000854088057,1.482855866063169
27.0,27.0000008869376,1.5275176662954426
28.0,28.000000919787137,1.4690497896820516
29.0,29.00000095263668,1.438286511669909
30.0,30.00000098548622,1.475303827973268
31.0,31.00000101833576,1.51783569329919
32.0,32.0000010511853,1.4835730487776249
33.0,33.00000108403484,1.5185848346383322
34.0,34.000001116884384,1.5292155401609187
35.0,35.000001149733926,1.544241231979527
36.0,36.00000118258346,1.723645183784594
37.0,37.000001215433,1.5015346864648362
38.0,38.000001248282544,1.6128993757910242
39.0,39.000001281132086,1.584450476503252
40.0,40.00000131398163,1.5613224722242778
41.0,41.00000134683117,1.560277447231777
42.0,42.000001379680704,1.603789438474574
43.0,43.000001412530246,1.4779458785247976
44.0,44.00000144537979,1.6630604468994976
45.0,45.00000147822933,1.5776467972959842
46.0,46.00000151107887,1.604800733352845
47.0,47.00000154392841,1.5674914785983505
48.0,48.00000157677795,1.6266050663617238
49.0,49.00000160962749,1.690580235781609
50.0,50.00000164247703,1.614729476416524
51.0,51.00000167532657,1.586704582649216
52.0,52.000001708176114,1.6144183120436777
53.0,53.000001741025656,1.7110517644943921
54.0,54.0000017738752,1.7352847599640169
55.0,55.00000180672473,1.6897899929867504
56.0,56.000001839574274,1.6531105824763888
57.0,57.000001872423816,1.6231887056009575
58.0,58.00000190527336,1.755702520797487
59.0,59.0000019381229,1.6674465927177529
60.0,60.00000197097244,1.6229249330011073
61.0,61.000002003821976,1.6767182269707261
62.0,62.00000203667152,1.6957825383724114
63.0,63.00000206952106,1.6817113555015086
64.0,64.0000021023706,1.6350044365425074
65.0,65.00000213522014,1.7081374872057042
66.0,66.00000216806968,1.8055209188294057
67.0,67.00000220091923,1.7361469431100867
68.0,68.00000223376877,1.7242687726268258
69.0,69.00000226661831,1.6429670124022822
70.0,70.00000229946785,1.7434960807487063
71.0,71.00000233231738,1.6871525670424572
72.0,72.00000236516692,1.6862734692642296
73.0,73.00000239801646,1.668701946867336
74.0,74.000002430866,1.7065330764177689
75.0,75.00000246371555,1.8082675012577134
76.0,76.00000249656509,1.7835692463194444
77.0,77.00000252941463,1.7806971111289172
78.0,78.00000256226417,1.8156103350209847
79.0,79.00000259511371,1.741053186541581
80.0,80.00000262796326,1.7464931144792764
81.0,81.0000026608128,1.8734682034982146
82.0,82.00000269366234,1.8040742152100901
83.0,83.00000272651188,1.7990541862946068
84.0,84.00000275936141,1.7600516890965112
85.0,85.00000279221095,1.848769100571115
86.0,86.00000282506049,1.785197203104484
87.0,87.00000285791003,1.8151948129210849
88.0,88.00000289075957,1.7819435982243774
89.0,89.00000292360912,1.7464658405913605
90.0,90.00000295645866,1.7560700599335186
91.0,91.0000029893082,1.7885817953076144
92.0,92.00000302215774,1.736534474575207
93.0,93.00000305500728,1.7752568896325998
94.0,94.00000308785683,1.738219889353028
95.0,95.00000312070637,1.7834587127897823
96.0,96.0000031535559,1.781830438203096
97.0,97.00000318640544,1.7896715969627777
98.0,98.00000321925498,1.8185386335022307
99.0,99.00000325210452,1.8832179943066665
100.0,100.00000328495406,1.7183011211331742
101.0,101.0000033178036,1.8314421901523166
102.0,102.00000335065315,1.7378625444035773
103.0,103.00000338350269,1.857063045317249
104.0,104.00000341635223,1.7908266662206207
105.0,105.00000344920177,1.8130539279150435
106.0,106.00000348205131,1.841546165056061
107.0,107.00000351490085,1.8620709437339482
108.0,108.0000035477504,1.9061859281591829
109.0,109.00000358059992,1.9150385460417632
110.0,110.00000361344946,1.8282612072548112
111.0,111.000003646299,1.7836820029865288
112.0,112.00000367914855,1.806656956380421
113.0,113.00000371199809,1.813855436052335
114.0,114.00000374484763,1.8599813212585097
115.0,115.00000377769717,1.8590020739341973
116.0,116.00000381054672,1.845751077974535
117.0,117.00000384339626,1.8723548642435477
118.0,118.0000038762458,1.8047256528309956
119.0,119.00000390909534,1.8685671453872552
120.0,120.00000394194488,1.891223919562469
121.0,121.00000397479442,1.8228791955681518
122.0,122.00000400764395,1.8305465824428493
123.0,123.0000040404935,1.877227104116139
124.0,124.00000407334304,1.855204490815526
125.0,125.00000410619258,1.9373847143484717
126.0,126.00000413904212,1.8687925094468043
127.0,127.00000417189166,1.887668019223394
128.0,128.0000042047412,1.858699401069845
129.0,129.00000423759073,1.8863790349134058
130.0,130.0000042704403,1.812124277188955
131.0,131.0000043032898,1.8722792919367266
132.0,132.00000433613937,1.922482144735134
133.0,133.0000043689889,1.9118141042439731
