Frame,Time (ns),RMSD_PTC,A,C,D,E
0.0,0.0,5.215346733281427e-07,0.0,0.0,0.0,0.0
1.0,1.0000000328495406,0.4539261052051165,0.4467495798573819,0.5595384236525186,0.5020757324423747,0.46311453996897634
2.0,2.0000000656990813,0.48024479011687415,0.4655527271470974,0.5618112375430925,0.654424900457621,0.286955526088773
3.0,3.0000000985486217,0.4728613030792416,0.4490495136998774,0.7008939100302021,0.6027960244510793,0.6002673850793679
4.0,4.000000131398163,0.5208893561268986,0.45665407121647394,1.5571561242890526,0.7317785440509169,0.314288773949159
5.0,5.000000164247703,0.4520527168914629,0.42848449435445485,0.30776108581501077,0.6329556097069369,0.6358224578032194
6.0,6.000000197097243,0.5790651561946389,0.44496834155056364,2.6283040532239013,0.4819480139103221,0.7286979859702944
7.0,7.000000229946784,0.44850723698650385,0.4438556708866288,0.46597760553074963,0.5050737903160082,0.42038564487327434
8.0,8.000000262796325,0.5119823729082387,0.4986890490380196,0.7863509783945026,0.6436612626791013,0.199523539818466
9.0,9.000000295645865,0.47982751703246923,0.4670726786151726,0.5602828623274936,0.6193405086170977,0.37942067520683753
10.0,10.000000328495407,0.5138786504749722,0.4909168732209869,0.6271197184827662,0.6977244162444532,0.5539481945382118
11.0,11.000000361344947,0.49609448785968757,0.4712839574854679,0.8608946565729755,0.6158952477500633,0.5593464799960358
12.0,12.000000394194487,0.47679153178958805,0.4666692891096893,0.3926712011866724,0.5664254486775442,0.5709447638162062
13.0,13.000000427044029,0.4471189632185179,0.4408278909469775,0.5483441150988073,0.544009660067468,0.2273441129411316
14.0,14.000000459893569,0.47578855507556667,0.4517847175005123,0.5558801222671099,0.5953557743318287,0.726232743426331
15.0,15.00000049274311,0.49862502208804216,0.4653094974945378,0.534870443507069,0.5845073347919999,0.9908811158480296
16.0,16.00000052559265,0.46724385524398737,0.46861961786759115,0.6350271746404275,0.4685604208180636,0.22670691443732174
17.0,17.000000558442192,0.4737851154872444,0.45453330410934395,0.36048824996487466,0.6873855130003496,0.4313391379042166
18.0,18.00000059129173,0.5138629069053305,0.4617835273432211,1.2371345741935038,0.7250154957588647,0.5605864024410395
19.0,19.000000624141272,0.4844899973484293,0.46069063261555915,0.7905085838766522,0.5814583096415655,0.6354562308983865
20.0,20.000000656990814,0.5054859772206504,0.47092947835399884,0.39098805725661095,0.6822039127742989,0.9063625754020675
21.0,21.000000689840352,0.48420680850732556,0.45372726025715,0.4981494310911029,0.7576140089675116,0.4644506892214807
22.0,22.000000722689894,0.4663070681504785,0.4504738362417526,0.2813964868841249,0.6105112548773239,0.5918977961725268
23.0,23.000000755539435,0.49115524342720746,0.44305702286748494,1.1502496784127463,0.7027214549288127,0.5043611391764635
24.0,24.000000788388974,0.5085839704973381,0.4821464542773047,1.0087121138492017,0.5614307743627502,0.65012576460784
25.0,25.000000821238515,0.48952482762532273,0.45018433938279606,1.1154825128991719,0.4476126552655099,0.9126643554283673
26.0,26.000000854088057,0.5598924797622432,0.4995493180457066,1.5402385411205715,0.7825556998184097,0.38332260005448887
27.0,27.0000008869376,0.51266684545924,0.4949580476356846,0.6294979219039714,0.6349320328413274,0.599016284574074
28.0,28.000000919787137,0.49541955183481284,0.47938456735432455,0.7613980323604291,0.49601550742435574,0.7146930490943929
29.0,29.00000095263668,0.49116195868826373,0.4549465146063085,0.7689142042361597,0.7219043365332735,0.5788847280854293
30.0,30.00000098548622,0.5183652127775087,0.47642454986377586,0.4184094941238611,0.8687720701948289,0.5850437716596759
31.0,31.00000101833576,0.5555648344959971,0.4785276354530662,0.2944127407269057,0.7723002607595627,1.4782881963335415
32.0,32.0000010511853,0.46822139361963344,0.44778404835771124,0.5349758422585518,0.5448737799205668,0.7443698699969887
33.0,33.00000108403484,0.5975071975053677,0.4982040194679369,2.389157086675821,0.48844589730504023,0.7174797410369799
34.0,34.000001116884384,0.5181077627028131,0.47540338700931556,0.8163191052298957,0.5962382003753528,1.048976948256841
35.0,35.000001149733926,0.49914555029836283,0.4645428594529741,0.7454281352803653,0.6341580567101502,0.8256001071791823
36.0,36.00000118258346,0.49044530778144885,0.45928369393850876,0.6034739230936479,0.555507829319713,0.9507558173456193
37.0,37.000001215433,0.49764452963184747,0.47182487821828745,0.22843446555029007,0.7070237405466933,0.6997469077701064
38.0,38.000001248282544,0.52822446421328,0.4522536446744276,0.7023744246194119,0.7905768106474232,1.243961931672858
39.0,39.000001281132086,0.5758925722122544,0.46894768155057337,0.4595116462314067,0.6642368311996095,1.9028994157971542
40.0,40.00000131398163,0.5358797064362557,0.4783294771274483,0.44657423677264696,0.629893713482983,1.371950906756666
41.0,41.00000134683117,0.5077773941733069,0.4838279883131374,0.411273030566827,0.4861248035202702,1.0575789646016038
42.0,42.000001379680704,0.5595184304735362,0.5096519720598884,1.0793242837454082,0.7564899725428076,0.8511599649280022
43.0,43.000001412530246,0.49356376717532985,0.4523049589550932,0.30744912375981526,0.6734519845868989,1.0029803302625535
44.0,44.00000144537979,0.5469153619134323,0.4678390944575388,0.7018560660003949,0.6510154120539403,1.5335882101226206
45.0,45.00000147822933,0.5157397585810796,0.4450141842029094,0.47201574196311186,0.904627153555867,0.9751460399830896
46.0,46.00000151107887,0.5118220978765616,0.45235293354200395,0.639918919538342,0.6030867480435098,1.2995694247379759
47.0,47.00000154392841,0.5609689232577483,0.48330383700821694,0.6510704333809477,0.6943242588681943,1.5286352799344989
48.0,48.00000157677795,0.4907200523677497,0.4336027497573841,0.5707691765800207,0.6735598868705789,1.1272672574045135
