Frame,Time (ns),RMSD_PTC,A,C,D,E
0.0,0.0,3.6878070413424054e-07,0.0,0.0,0.0,0.0
1.0,1.0000000328495406,0.5398440594928645,0.43774822190478435,1.3107034069582728,0.7073221283859732,1.3823061454269783
2.0,2.0000000656990813,0.60146856650647,0.4703095195353055,0.7909034955831736,0.7118424913284006,2.0503634644218383
3.0,3.0000000985486217,0.5696395731012969,0.46063818248415617,0.9955836050643608,0.6563375440541098,1.765041531495421
4.0,4.000000131398163,0.5457350298492984,0.4498090652603932,0.8153237191353798,0.5392271639755544,1.7505158704514834
5.0,5.000000164247703,0.5492528346742367,0.46753847245596203,0.7176382312336492,0.6246362896511454,1.5896117002988883
6.0,6.000000197097243,0.47996291568313115,0.4249377333877244,1.1154057084517788,0.6579491958040427,0.7580201151193162
7.0,7.000000229946784,0.5632504520001481,0.43392869646894544,0.869788383114499,0.534849651262242,2.0367151241917782
8.0,8.000000262796325,0.4686454288629881,0.41819639227567207,1.1883083634443539,0.5428835312633948,0.7913836215924511
9.0,9.000000295645865,0.5851776537590163,0.4588717385146386,1.140892079521906,0.553043287698965,1.9830334236401277
10.0,10.000000328495407,0.5143345848822523,0.4310994267740338,0.9659005394455675,0.7020487537847995,1.2945096971710215
11.0,11.000000361344947,0.5857300802852952,0.42849476425942723,0.9820499299826166,0.4876990378363432,2.281725738946736
12.0,12.000000394194487,0.526308978295991,0.4339877716845566,0.8999383450761818,0.744927777508238,1.3994706504409835
13.0,13.000000427044029,0.5390905393311575,0.43905222750934236,1.096141112263425,0.6268360988394025,1.5737130806801969
14.0,14.000000459893569,0.6055080094295623,0.41681307385848365,1.0177927853326596,0.7026626087765319,2.371907490141892
15.0,15.00000049274311,0.5858110453448437,0.4502653629856828,1.0208233501353194,0.7434677856655585,1.9283966908445551
16.0,16.00000052559265,0.5356978059867383,0.45799217721323293,1.188902890855059,0.7468641500478774,1.110474004003197
17.0,17.000000558442192,0.6081960672895187,0.44763835274110353,1.2058954473657366,0.6125802334324973,2.223624243803174
18.0,18.00000059129173,0.5065421669629842,0.45043333816795994,1.0196609949614093,0.7325637294916193,0.8185928952871321
19.0,19.000000624141272,0.5705011989240767,0.45363786838489495,1.1969820037978698,0.44529032541716373,1.9174338533997772
20.0,20.000000656990814,0.4938785983353817,0.4307740534689855,1.1638260312189626,0.7774845510547176,0.6085341459038626
21.0,21.000000689840352,0.5455361731607926,0.4636446414488281,1.2841943828617652,0.8028970918056719,1.0298899068344796
22.0,22.000000722689894,0.5269423363188144,0.4322309432381324,0.9663485608647058,0.6536550475036981,1.5125318489989326
23.0,23.000000755539435,0.5044887880922904,0.42000310057750695,0.572042347858864,0.8654732808585639,1.1552603448431973
24.0,24.000000788388974,0.5905562336910356,0.43007037605254783,1.3856818069839056,0.7122288366484244,2.002692560233595
25.0,25.000000821238515,0.5352013506991073,0.46270066780375785,0.5124896594404428,0.6265872006129545,1.5119746269486325
26.0,26.000000854088057,0.5039064427939244,0.41445561939616815,1.1633238681800588,0.7963590200063297,1.0396706863097258
27.0,27.0000008869376,0.5368520748568074,0.4658061876161285,1.5852848969336144,0.6824989623105753,0.7505829230375057
28.0,28.000000919787137,0.5171887392949105,0.42374179867246353,0.8660527234704756,0.9243032053563616,1.0657789537442863
29.0,29.00000095263668,0.511786649700609,0.47089772343745007,0.5809083887906582,0.7154431305626509,0.8967094457548396
30.0,30.00000098548622,0.5484846148184636,0.42503744152878725,1.8194340174906347,0.6172251019584066,1.3588151223974925
31.0,31.00000101833576,0.5417712380502738,0.4341705881789812,1.509254014579771,0.6831099724060873,1.3413858429712398
32.0,32.0000010511853,0.5530083412358854,0.4324756364062674,1.3207791786864298,0.7008352179471863,1.604469194096802
33.0,33.00000108403484,0.49376780287524485,0.44115440720355337,1.2508493354880372,0.5471805708871001,0.8696374730563344
34.0,34.000001116884384,0.5317246379670387,0.4164878269381099,1.2022001075278184,1.0888128627789715,0.723904251309754
35.0,35.000001149733926,0.4932806624516054,0.43019914903540313,0.6901624723020872,0.7255205171695973,1.0763421796515755
36.0,36.00000118258346,0.5530305285314767,0.4474649137772578,1.2607536310897096,0.9944831645384415,0.9683332479437076
37.0,37.000001215433,0.5645107704837335,0.48288842404894883,1.106197120356628,1.035361540439662,0.6207024181912901
38.0,38.000001248282544,0.63417210916537,0.47293825364220965,1.182241961782567,1.4170458741498029,1.0243837360147
39.0,39.000001281132086,0.557953944570203,0.46288364738938614,1.4808685614894277,0.8870601625447119,0.9108393586637927
40.0,40.00000131398163,0.5958490932812484,0.44925917971636864,1.3499038688816392,1.2988199156582623,0.7908944105872887
41.0,41.00000134683117,0.6344543441419775,0.45002011553839016,0.7942076557131764,1.0341140885485411,2.1769702094797805
42.0,42.000001379680704,0.569600119208228,0.4201330485064066,1.6150907498625229,1.1234939961413115,0.9675621015241634
43.0,43.000001412530246,0.5775653934750178,0.47257566820082414,0.8193400498549569,0.7842430337117294,1.6770545342647134
44.0,44.00000144537979,0.5509562434102077,0.4368579076263554,1.1907099485296073,0.9279731085067018,1.2670275110940412
45.0,45.00000147822933,0.49136442146692455,0.44458662350419126,0.4141927842886501,0.8533487724772474,0.6015219208825774
46.0,46.00000151107887,0.5137220671087563,0.46430815019323907,1.1804584876321853,0.736101825761415,0.5329012444877461
47.0,47.00000154392841,0.5097424746545544,0.43633378719799487,1.2347553788596544,0.6604048446524464,1.0595402339212634
48.0,48.00000157677795,0.6142525094598646,0.4633355638426794,1.2393672434871417,0.5946637177530355,2.1825694641349456
