Frame,Time (ns),RMSD_ribosome
0.0,0.0,4.722821255562202e-06
1.0,1.0000000328495406,1.0342656898959945
2.0,2.0000000656990813,1.1090619375334847
3.0,3.0000000985486217,1.1238659090190077
4.0,4.000000131398163,1.3220708917820485
5.0,5.000000164247703,1.364313330598695
6.0,6.000000197097243,1.3374660930112443
7.0,7.000000229946784,1.3688450279430957
8.0,8.000000262796325,1.3172925748879802
9.0,9.000000295645865,1.3196448404074903
10.0,10.000000328495407,1.29279910649315
11.0,11.000000361344947,1.3712202110854026
12.0,12.000000394194487,1.4022379527914761
13.0,13.000000427044029,1.383822724436507
14.0,14.000000459893569,1.4108536693465126
15.0,15.00000049274311,1.5118870678698026
16.0,16.00000052559265,1.4729845241675759
17.0,17.000000558442192,1.5412609012695742
18.0,18.00000059129173,1.5340323242696625
19.0,19.000000624141272,1.4035286150942605
20.0,20.000000656990814,1.4127630970104883
21.0,21.000000689840352,1.5045593317285026
22.0,22.000000722689894,1.371189778284734
23.0,23.000000755539435,1.4655403568686496
24.0,24.000000788388974,1.401478008418279
25.0,25.000000821238515,1.3710031396718072
26.0,26.000000854088057,1.325426009750721
27.0,27.0000008869376,1.3622610771470018
28.0,28.000000919787137,1.4108598317435608
29.0,29.00000095263668,1.525477778126826
30.0,30.00000098548622,1.5544893448087118
31.0,31.00000101833576,1.5201058425314318
32.0,32.0000010511853,1.5451220820196214
33.0,33.00000108403484,1.471192571878358
34.0,34.000001116884384,1.50634399328919
35.0,35.000001149733926,1.5457237229863128
36.0,36.00000118258346,1.568841487660806
37.0,37.000001215433,1.5405724186934708
38.0,38.000001248282544,1.5267842802991975
39.0,39.000001281132086,1.5528783927227223
40.0,40.00000131398163,1.4553044225923855
41.0,41.00000134683117,1.559745249544847
42.0,42.000001379680704,1.4654402555742918
43.0,43.000001412530246,1.6015247301599649
44.0,44.00000144537979,1.5893367562376812
45.0,45.00000147822933,1.6197354739113317
46.0,46.00000151107887,1.6890033604754902
47.0,47.00000154392841,1.6143650717307458
48.0,48.00000157677795,1.6839916657965477
49.0,49.00000160962749,1.6177240166194573
50.0,50.00000164247703,1.685719599720176
51.0,51.00000167532657,1.7214689684150126
52.0,52.000001708176114,1.7368696590449715
53.0,53.000001741025656,1.6762368332427797
54.0,54.0000017738752,1.8091731470687125
55.0,55.00000180672473,1.7191899728392213
