Frame,Time (ns),RMSD_PTC,A,C,D,E
0.0,0.0,5.215346733281427e-07,0.0,0.0,0.0,0.0
1.0,1.0000000328495406,0.4792654239717614,0.40247114784446714,0.7945555384980579,0.634772990899264,1.2734223631566093
2.0,2.0000000656990813,0.4734120247958687,0.42645840639350663,0.909383364887745,0.6031342412505717,0.8796000704777505
3.0,3.0000000985486217,0.49339523756170056,0.4535522792921452,0.6686060799935918,0.6008334925701593,0.9881251132430535
4.0,4.000000131398163,0.5160519043205899,0.42683397212596635,1.4449480574517186,0.711361176597611,1.0239649337229233
5.0,5.000000164247703,0.48690950234757835,0.44603725564419583,1.2490230624543768,0.5973136372848321,0.48027545099109775
6.0,6.000000197097243,0.5449334673919786,0.43418548122897677,1.4452608558511262,0.8339945488758734,1.1988014740852442
7.0,7.000000229946784,0.5200064657166071,0.452421146064377,1.2557634038341505,0.7358807796509149,0.8577203844793534
8.0,8.000000262796325,0.5733856717627066,0.4671259815178744,1.811714806692233,0.8071805039549997,0.9815115772836488
9.0,9.000000295645865,0.4916775828703686,0.41721032271700675,1.0381196941090043,0.9224127583018444,0.4253095725508618
10.0,10.000000328495407,0.5070216883971335,0.432246206543644,1.2719265465538196,0.8080390750243209,0.7035246886657155
11.0,11.000000361344947,0.5212605271771513,0.4207911199402882,0.7829370014756672,1.033853174464365,0.9402613209662182
12.0,12.000000394194487,0.5692498193253359,0.4356874888782349,1.2129396517089157,0.9089977205981172,1.5574327352807282
13.0,13.000000427044029,0.5031431278490804,0.4398672116643884,0.8429777971534916,0.8493188502995785,0.7545548882902495
14.0,14.000000459893569,0.45883072629015353,0.4119458696174632,0.978913882984815,0.5638496294268577,0.8395626529770566
15.0,15.00000049274311,0.5763233539758921,0.4416842303940599,1.3957607262088618,1.1384635618206418,0.9894134230363738
16.0,16.00000052559265,0.5032311816822762,0.4143824155292072,0.8110492355271789,1.0234603156593562,0.6481858060567921
17.0,17.000000558442192,0.6289801215279645,0.48316913407107925,2.0799303746413815,0.7924354396917764,1.4956139785228926
18.0,18.00000059129173,0.4767851882621567,0.39910612204725826,0.4870366372667037,0.9538232469236867,0.7298841785179813
19.0,19.000000624141272,0.47755339636451477,0.42191360334672356,0.6114937853283268,0.7656375055643542,0.862471516935482
20.0,20.000000656990814,0.5600337857772985,0.4309513375498714,1.2295737017717658,0.8072171884897519,1.6191671566206807
21.0,21.000000689840352,0.5433464273349661,0.4399440925185735,1.329562560839379,0.7604747201247083,1.3207649923368778
22.0,22.000000722689894,0.5779336242637994,0.44680067071224205,1.4272986772306169,1.0073156498560658,1.2624811212611442
23.0,23.000000755539435,0.4589116660783331,0.411589957943827,0.9866102190117142,0.6822756558304257,0.5595321328968631
24.0,24.000000788388974,0.497467156275947,0.45865134293473087,1.0924846118041525,0.5765730502958548,0.743690180504743
25.0,25.000000821238515,0.5503236468114385,0.42877224919571705,0.9393172795386819,1.163312918571745,0.9188883656128194
26.0,26.000000854088057,0.5164152517592391,0.49847448136096323,0.7177680691896206,0.6231728880451165,0.5891381659891368
27.0,27.0000008869376,0.466855472887289,0.4111676937997272,0.9593069546487185,0.7776737220268757,0.5002535618712025
28.0,28.000000919787137,0.4991916645898898,0.4420524262780759,0.7881775626083083,0.7616066057068829,0.8967161290354192
29.0,29.00000095263668,0.5680477983324241,0.4566994808521238,0.6326163727404176,1.0581772021312654,1.3117754406858746
30.0,30.00000098548622,0.5178513687310259,0.4376950917207511,0.8318246522461153,0.6351657298679282,1.4229797841226257
31.0,31.00000101833576,0.5229957107853124,0.46516737606143616,0.7602815662450224,0.883527845337471,0.7132885169540917
32.0,32.0000010511853,0.49183886777067176,0.4236360371974703,0.5412331405136168,0.7098590961775608,1.2106337609637945
33.0,33.00000108403484,0.47626295086052417,0.4392714769067052,0.7581175013773003,0.6793046505300787,0.6560237095882444
34.0,34.000001116884384,0.49996333095073114,0.45093078525062386,0.9150321869002793,0.7429501221688048,0.7169117474953781
35.0,35.000001149733926,0.5586402365471478,0.45947543722945877,0.2488869274776794,1.0824106533473334,1.1619759066338924
36.0,36.00000118258346,0.4621043552981288,0.41303507398616807,0.8888278753518016,0.6337340696403714,0.820493200836294
37.0,37.000001215433,0.5329464711103464,0.4568025496933071,1.3392258975650215,0.6883825260678075,1.0643526345722558
38.0,38.000001248282544,0.505239174281509,0.4294737442776174,0.8621887627310632,0.9650604232324251,0.5882197213369907
39.0,39.000001281132086,0.5561386765782219,0.433658702717755,1.611232686837842,0.9325953865655037,1.0434576893088718
40.0,40.00000131398163,0.47049250049253566,0.40730828144928455,0.6743730773114784,0.5889305691806231,1.2120241814730168
41.0,41.00000134683117,0.5544552716985308,0.4479768906492961,1.3780725920047832,0.899822664970914,1.1186549499000014
42.0,42.000001379680704,0.5534729242791127,0.45288589342740715,1.4030230251912277,0.9518852040958866,0.877891847315583
43.0,43.000001412530246,0.5586953278075059,0.4598245147189206,1.581562544402545,0.7291512424318745,1.1927188199279088
44.0,44.00000144537979,0.5117700957494956,0.42025944827323614,0.8828270036887441,0.7931210657673603,1.2689921539129556
45.0,45.00000147822933,0.4902711155933032,0.4127199209513076,0.8349501288596974,0.6927191870624828,1.2212346608519238
46.0,46.00000151107887,0.4983888234971945,0.4250740960859197,1.135081518707938,0.594966119615332,1.1810401721247095
47.0,47.00000154392841,0.4618472023726578,0.40364220108446097,1.0375310695403623,0.7647499930694885,0.47487186105931817
48.0,48.00000157677795,0.4902277012072073,0.4302947327735519,0.6044220327342071,0.697898895068714,1.1079989115939695
