Frame,Time (ns),RMSD_PTC
0.0,0.0,3.588565324339284e-07
1.0,1.0000000328495406,0.5531594751731486
2.0,2.0000000656990813,0.6807666377568402
3.0,3.0000000985486217,0.700225314036197
4.0,4.000000131398163,0.6731556506276641
5.0,5.000000164247703,0.6661402193195504
6.0,6.000000197097243,0.7351556124014047
7.0,7.000000229946784,0.7264878285923182
8.0,8.000000262796325,0.7888450637920307
9.0,9.000000295645865,0.7836683772740994
10.0,10.000000328495407,0.8133639926379892
11.0,11.000000361344947,0.8067564125589242
12.0,12.000000394194487,0.826974927924304
13.0,13.000000427044029,0.8467367065538052
14.0,14.000000459893569,0.8538315856653583
15.0,15.00000049274311,0.8245905314825849
16.0,16.00000052559265,0.8366687305526901
17.0,17.000000558442192,0.9077536907414582
18.0,18.00000059129173,0.8598732766839019
19.0,19.000000624141272,0.9645197499564622
20.0,20.000000656990814,0.9171709211432143
21.0,21.000000689840352,0.8677206722508007
22.0,22.000000722689894,0.9402376691288483
23.0,23.000000755539435,0.9320865129584927
24.0,24.000000788388974,0.9177953356272437
25.0,25.000000821238515,0.9697708553392966
26.0,26.000000854088057,0.9694742711610329
27.0,27.0000008869376,1.0264603482811525
28.0,28.000000919787137,0.9764240409143764
29.0,29.00000095263668,0.9274330523296945
30.0,30.00000098548622,0.9904289444839541
31.0,31.00000101833576,1.0751151027967358
32.0,32.0000010511853,0.9689772701600763
33.0,33.00000108403484,1.0314010541502825
34.0,34.000001116884384,1.0441328119595719
35.0,35.000001149733926,1.049297408668086
36.0,36.00000118258346,1.12882445798807
37.0,37.000001215433,1.139276419603125
38.0,38.000001248282544,1.1556227651173883
39.0,39.000001281132086,1.0937922598112397
40.0,40.00000131398163,1.0301972735415164
41.0,41.00000134683117,1.0445101428106747
42.0,42.000001379680704,1.091780913012369
43.0,43.000001412530246,1.120302746043705
44.0,44.00000144537979,1.1016706311334925
45.0,45.00000147822933,1.2076213784575591
46.0,46.00000151107887,1.2491656120072097
47.0,47.00000154392841,1.192485658290652
48.0,48.00000157677795,1.2581264081669714
49.0,49.00000160962749,1.180747556732815
50.0,50.00000164247703,1.2238178275705838
51.0,51.00000167532657,1.2880833965080412
52.0,52.000001708176114,1.2941064990180362
53.0,53.000001741025656,1.248818237553369
54.0,54.0000017738752,1.221739843313366
55.0,55.00000180672473,1.2012449783650725
56.0,56.000001839574274,1.2891760369054177
57.0,57.000001872423816,1.3198736912821765
58.0,58.00000190527336,1.2059741869616467
59.0,59.0000019381229,1.2512639232672225
60.0,60.00000197097244,1.1664753858861516
61.0,61.000002003821976,1.1918114066226753
62.0,62.00000203667152,1.2187473051465751
63.0,63.00000206952106,1.2245697196890926
64.0,64.0000021023706,1.1422085660066874
65.0,65.00000213522014,1.1828578189634382
66.0,66.00000216806968,1.260232866879887
67.0,67.00000220091923,1.2153604116302301
68.0,68.00000223376877,1.1842394331101675
69.0,69.00000226661831,1.2416103783759758
70.0,70.00000229946785,1.2071270998437547
71.0,71.00000233231738,1.2636003896575354
72.0,72.00000236516692,1.2792597774990844
73.0,73.00000239801646,1.2048011175215043
74.0,74.000002430866,1.2499770933431198
75.0,75.00000246371555,1.2574946158189892
76.0,76.00000249656509,1.1889791257878923
77.0,77.00000252941463,1.259751232789849
78.0,78.00000256226417,1.2100742458520757
79.0,79.00000259511371,1.1967383533611071
80.0,80.00000262796326,1.2003779280462457
81.0,81.0000026608128,1.2076097250845188
82.0,82.00000269366234,1.2091733273780183
83.0,83.00000272651188,1.2446478507595515
84.0,84.00000275936141,1.2242715579140375
85.0,85.00000279221095,1.211671045343422
86.0,86.00000282506049,1.198932618994561
87.0,87.00000285791003,1.1561598779028028
88.0,88.00000289075957,1.2237836727385405
89.0,89.00000292360912,1.2302368855390697
90.0,90.00000295645866,1.2074449807626872
91.0,91.0000029893082,1.3235248924147938
92.0,92.00000302215774,1.2515801425455548
93.0,93.00000305500728,1.2276489580154675
94.0,94.00000308785683,1.2619100885100925
95.0,95.00000312070637,1.2148075794924247
96.0,96.0000031535559,1.2767179873261372
97.0,97.00000318640544,1.280162283180955
98.0,98.00000321925498,1.2148475357028357
99.0,99.00000325210452,1.2117557773976544
100.0,100.00000328495406,1.2263450066055452
101.0,101.0000033178036,1.199038904404546
102.0,102.00000335065315,1.169081646611941
103.0,103.00000338350269,1.1954892823344665
104.0,104.00000341635223,1.225326636025517
105.0,105.00000344920177,1.1957858923932798
106.0,106.00000348205131,1.1811327145647887
107.0,107.00000351490085,1.2174902457361894
108.0,108.0000035477504,1.175210685577216
109.0,109.00000358059992,1.204018652848212
110.0,110.00000361344946,1.2193701871760891
111.0,111.000003646299,1.2142332266057132
112.0,112.00000367914855,1.2434058392320002
113.0,113.00000371199809,1.1901377926893952
114.0,114.00000374484763,1.2122561848351374
115.0,115.00000377769717,1.26237616626059
116.0,116.00000381054672,1.2860822882448082
117.0,117.00000384339626,1.2281518362800234
118.0,118.0000038762458,1.290491424517396
119.0,119.00000390909534,1.2652815972639972
120.0,120.00000394194488,1.2469554189631171
121.0,121.00000397479442,1.2253861726356352
122.0,122.00000400764395,1.1825500309409203
123.0,123.0000040404935,1.1809690895452518
124.0,124.00000407334304,1.2342851811744964
125.0,125.00000410619258,1.3106904344385175
126.0,126.00000413904212,1.2965759998216968
127.0,127.00000417189166,1.3010522529867246
128.0,128.0000042047412,1.2202760462547935
129.0,129.00000423759073,1.2201697575742645
130.0,130.0000042704403,1.2553018739672057
131.0,131.0000043032898,1.2667212011482942
132.0,132.00000433613937,1.260271649734093
